group,question_id,variant,type,prompt,option_order,option_label,option_impact,richness,tenderness,boldness,adventure,value,precision,delta_net,delta_abs_total,tradeoff_flags,signal_keys,signal_json
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,3,Bold steakhouse flavor,Bold,1,0,2,0,0,0,3,3,none,flavorTarget,"{""flavorTarget"":""Bold / savory""}"
flavor,flavor_a,A,Flavor,How strong do you want the beef flavor?,4,Very bold char-forward flavor,Intense,0,0,3,1,0,-1,3,5,adventure_vs_precision,flavorTarget,"{""flavorTarget"":""Intense / char-forward""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,3,Bold steakhouse flavor,Bold,1,0,2,0,0,0,3,3,none,flavorTarget,"{""flavorTarget"":""Bold / savory""}"
flavor,flavor_b,B,Flavor,How strong do you want the beef flavor?,4,Very bold char-forward flavor,Intense,0,0,3,1,0,-1,3,5,adventure_vs_precision,flavorTarget,"{""flavorTarget"":""Intense / char-forward""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,1,"Mild, clean beef flavor",Mild,-1,1,-2,0,0,1,-1,5,none,flavorTarget,"{""flavorTarget"":""Clean / mild""}"
flavor,flavor_c,C,Flavor Preference,How strong should the beef flavor be?,2,Balanced beef flavor,Balanced,0,1,1,0,0,0,2,2,none,flavorTarget,"{""flavorTarget"":""Balanced""}"
